unit,time_step,operational_setting_1,operational_setting_2,operational_setting_3,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Health_state,Operational_condition
8073,39,5,10.0005,0.2519,20.0,489.05,605.04,1492.47,1300.44,10.52,15.49,395.03,2318.84,8783.39,1.26,45.31,372.0,2388.04,8129.43,8.6258,0.03,369,2319,100.0,28.64,17.1614,2,1
8076,39,8,10.0002,0.25,20.0,489.05,604.4,1497.26,1301.97,10.52,15.49,394.88,2318.86,8778.87,1.26,45.28,371.82,2388.03,8129.28,8.6214,0.03,369,2319,100.0,28.58,17.1536,2,1
8079,39,11,10.0011,0.2516,20.0,489.05,604.74,1500.27,1308.96,10.52,15.49,395.44,2318.95,8775.03,1.26,45.49,371.57,2388.1,8130.47,8.6304,0.03,368,2319,100.0,28.51,17.2129,2,1
8093,39,25,10.0046,0.2515,20.0,489.05,604.57,1501.66,1312.14,10.52,15.49,393.5,2318.89,8770.47,1.26,45.21,371.8,2388.11,8130.66,8.6347,0.03,369,2319,100.0,28.59,17.1846,3,1
8102,39,34,9.9982,0.2518,20.0,489.05,604.31,1498.21,1306.57,10.52,15.49,395.18,2318.95,8772.57,1.26,45.37,371.8,2388.08,8130.85,8.6218,0.03,368,2319,100.0,28.55,17.2015,3,1
8114,39,46,10.0035,0.2501,20.0,489.05,604.15,1492.6,1307.59,10.52,15.49,395.18,2318.88,8779.1,1.26,45.13,371.66,2388.13,8130.08,8.6767,0.03,369,2319,100.0,28.6,17.1828,3,1
8121,39,53,9.9998,0.2514,20.0,489.05,604.95,1492.02,1305.53,10.52,15.49,394.15,2318.9,8775.58,1.26,45.23,371.76,2388.09,8140.05,8.617,0.03,369,2319,100.0,28.45,17.2071,3,1
8123,39,55,9.9997,0.2509,20.0,489.05,604.64,1497.97,1307.25,10.52,15.49,394.6,2318.89,8782.19,1.26,45.22,372.44,2388.09,8127.56,8.6976,0.03,369,2319,100.0,28.49,17.1484,3,1
8135,39,67,10.0066,0.25,20.0,489.05,604.79,1491.56,1315.53,10.52,15.49,394.4,2318.94,8776.07,1.26,45.43,371.71,2388.14,8135.87,8.6702,0.03,369,2319,100.0,28.72,17.2408,3,1
8136,39,68,10.0048,0.2516,20.0,489.05,604.56,1496.24,1302.78,10.52,15.49,394.43,2318.89,8777.38,1.26,45.33,371.44,2388.16,8130.26,8.6575,0.03,369,2319,100.0,28.54,17.0689,3,1
8137,39,69,10.0029,0.2507,20.0,489.05,605.15,1493.25,1305.22,10.52,15.49,394.52,2318.88,8777.28,1.26,45.45,371.62,2388.11,8129.91,8.6946,0.03,370,2319,100.0,28.54,17.1742,3,1
8141,39,73,9.9984,0.25,20.0,489.05,605.31,1503.33,1312.89,10.52,15.49,393.95,2318.91,8782.07,1.26,45.59,371.69,2388.11,8134.45,8.6378,0.03,368,2319,100.0,28.56,17.1413,3,1
8149,39,81,10.0014,0.25,20.0,489.05,605.04,1500.7,1303.57,10.52,15.49,394.4,2318.91,8780.41,1.26,45.32,372.05,2388.12,8130.43,8.6508,0.03,371,2319,100.0,28.61,17.105,3,1
8150,39,82,10.0077,0.25,20.0,489.05,604.92,1497.0,1310.88,10.52,15.49,394.55,2318.91,8786.15,1.26,45.53,371.25,2388.11,8132.66,8.6617,0.03,369,2319,100.0,28.52,17.1534,3,1
8154,39,86,10.0012,0.25,20.0,489.05,604.59,1503.49,1307.82,10.52,15.49,395.18,2318.95,8788.09,1.26,45.4,371.89,2388.14,8138.91,8.6063,0.03,370,2319,100.0,28.64,17.1531,3,1
8165,39,97,10.0072,0.2501,20.0,489.05,604.74,1501.61,1309.62,10.52,15.49,394.76,2318.97,8786.8,1.26,45.59,371.69,2388.12,8130.51,8.6678,0.03,370,2319,100.0,28.6,17.1294,3,1
8166,39,98,10.0002,0.25,20.0,489.05,605.06,1501.68,1303.43,10.52,15.49,394.8,2318.96,8792.88,1.26,45.42,372.16,2388.15,8132.83,8.6883,0.03,370,2319,100.0,28.56,17.2346,3,1
8171,39,103,10.0018,0.2514,20.0,489.05,604.86,1501.99,1315.16,10.52,15.49,394.01,2318.98,8793.82,1.26,45.61,371.96,2388.11,8136.69,8.5976,0.03,370,2319,100.0,28.61,17.0192,3,1
8173,39,105,9.9981,0.2508,20.0,489.05,604.84,1508.91,1311.25,10.52,15.49,394.11,2318.96,8795.5,1.26,45.45,371.19,2388.15,8133.41,8.6908,0.03,370,2319,100.0,28.77,17.0721,3,1
8200,39,132,10.0043,0.2508,20.0,489.05,605.27,1505.55,1314.26,10.52,15.5,394.3,2319.07,8793.75,1.26,45.88,371.02,2388.23,8143.48,8.6813,0.03,372,2319,100.0,28.42,17.053,4,1
8201,39,133,9.9999,0.2511,20.0,489.05,605.49,1504.56,1321.18,10.52,15.49,394.04,2319.02,8790.94,1.26,45.6,370.93,2388.25,8143.06,8.6819,0.03,371,2319,100.0,28.38,17.0193,4,1
8205,39,137,10.004,0.25,20.0,489.05,605.41,1500.59,1316.79,10.52,15.5,394.02,2319.06,8807.77,1.26,45.86,371.37,2388.2,8148.84,8.7174,0.03,370,2319,100.0,28.34,17.0848,4,1
8207,39,139,10.0031,0.2501,20.0,489.05,605.65,1500.96,1327.18,10.52,15.5,393.05,2319.1,8800.8,1.26,45.71,370.96,2388.32,8147.94,8.6947,0.03,373,2319,100.0,28.33,17.1679,4,1
8214,39,146,10.0013,0.2506,20.0,489.05,605.78,1505.84,1317.79,10.52,15.5,393.54,2319.19,8809.32,1.26,45.67,370.42,2388.27,8151.49,8.7395,0.03,372,2319,100.0,28.38,16.9332,4,1
8222,39,154,10.0014,0.25,20.0,489.05,605.98,1512.95,1331.79,10.52,15.5,392.85,2319.09,8813.94,1.26,46.1,369.97,2388.36,8153.75,8.7449,0.03,373,2319,100.0,28.36,16.9303,4,1
8223,39,155,10.0003,0.2518,20.0,489.05,605.7,1506.35,1329.58,10.52,15.5,393.52,2319.08,8815.72,1.26,46.13,370.54,2388.28,8157.15,8.7253,0.03,372,2319,100.0,28.29,16.9807,4,1
8226,39,158,10.0041,0.2505,20.0,489.05,606.12,1515.75,1339.33,10.52,15.5,393.04,2319.14,8818.8,1.26,46.01,370.85,2388.36,8156.16,8.7283,0.03,371,2319,100.0,28.21,16.8859,4,1
8227,39,159,9.9991,0.2518,20.0,489.05,605.8,1513.54,1330.94,10.52,15.5,393.24,2319.19,8822.61,1.26,46.01,370.41,2388.42,8160.31,8.7607,0.03,373,2319,100.0,28.16,16.9106,4,1
8232,40,3,10.0058,0.2518,20.0,489.05,605.06,1493.63,1305.94,10.52,15.49,394.35,2318.87,8779.84,1.26,45.22,371.78,2388.11,8131.15,8.6594,0.03,369,2319,100.0,28.64,17.2028,2,1
8240,40,11,10.0011,0.25,20.0,489.05,604.5,1497.49,1301.55,10.52,15.49,394.9,2318.89,8769.41,1.26,45.27,371.48,2388.09,8133.17,8.6404,0.03,367,2319,100.0,28.4,17.1698,2,1
8241,40,12,10.001,0.2504,20.0,489.05,604.78,1500.92,1308.14,10.52,15.49,394.75,2318.91,8781.04,1.26,45.34,371.72,2388.05,8132.21,8.6506,0.03,369,2319,100.0,28.5,17.1039,2,1
8263,40,34,10.0058,0.2515,20.0,489.05,605.0,1494.75,1301.64,10.52,15.49,394.96,2318.87,8774.39,1.26,45.2,372.12,2388.12,8127.9,8.6235,0.03,368,2319,100.0,28.42,17.1347,2,1
8267,40,38,10.0078,0.25,20.0,489.05,604.64,1497.21,1304.19,10.52,15.49,394.47,2318.95,8776.73,1.26,45.35,372.12,2388.09,8124.03,8.6404,0.03,368,2319,100.0,28.46,17.1316,3,1
8280,40,51,10.0039,0.2519,20.0,489.05,604.83,1494.9,1308.3,10.52,15.49,395.27,2318.89,8774.84,1.26,45.16,371.47,2388.09,8136.7,8.6419,0.03,368,2319,100.0,28.57,17.2018,3,1
8292,40,63,10.0047,0.2509,20.0,489.05,604.8,1495.48,1305.9,10.52,15.5,394.74,2318.86,8780.44,1.26,45.54,371.68,2388.14,8132.68,8.6497,0.03,370,2319,100.0,28.63,17.156,3,1
8300,40,71,10.0031,0.25,20.0,489.05,604.96,1498.49,1305.14,10.52,15.49,395.27,2318.9,8786.23,1.26,45.27,371.67,2388.12,8137.28,8.6443,0.03,369,2319,100.0,28.5,17.1364,3,1
8309,40,80,10.0003,0.2515,20.0,489.05,604.78,1503.74,1299.23,10.52,15.49,394.07,2318.88,8781.88,1.26,45.41,371.86,2388.07,8131.92,8.6688,0.03,369,2319,100.0,28.72,17.2126,3,1
8315,40,86,9.9991,0.2517,20.0,489.05,604.85,1502.97,1307.71,10.52,15.49,394.51,2318.95,8780.95,1.26,45.39,371.85,2388.19,8132.34,8.6611,0.03,369,2319,100.0,28.44,17.187,3,1
8339,40,110,10.0013,0.25,20.0,489.05,604.88,1499.24,1308.44,10.52,15.49,395.22,2318.93,8792.7,1.26,45.46,371.12,2388.12,8134.68,8.6453,0.03,370,2319,100.0,28.55,17.1025,3,1
8341,40,112,9.9994,0.25,20.0,489.05,604.3,1507.45,1308.07,10.52,15.49,394.38,2318.94,8784.95,1.26,45.55,371.75,2388.21,8137.98,8.6439,0.03,369,2319,100.0,28.54,17.1401,3,1
8342,40,113,10.0034,0.25,20.0,489.05,604.3,1501.51,1309.85,10.52,15.5,394.15,2318.9,8790.97,1.26,45.57,371.8,2388.16,8140.31,8.6812,0.03,368,2319,100.0,28.66,17.1284,3,1
8345,40,116,10.0,0.2507,20.0,489.05,604.79,1501.42,1307.5,10.52,15.49,395.15,2318.91,8793.05,1.26,45.6,371.73,2388.16,8142.24,8.6634,0.03,369,2319,100.0,28.64,17.0635,3,1
8347,40,118,10.0061,0.25,20.0,489.05,605.04,1502.71,1306.01,10.52,15.5,394.42,2318.94,8796.79,1.26,45.53,371.15,2388.18,8143.98,8.7084,0.03,370,2319,100.0,28.48,17.1956,3,1
8348,40,119,10.008,0.2511,20.0,489.05,605.23,1500.18,1309.61,10.52,15.49,394.38,2318.97,8790.01,1.26,45.36,371.78,2388.17,8139.67,8.6194,0.03,368,2319,100.0,28.44,17.1919,3,1
8353,40,124,10.0069,0.25,20.0,489.05,605.03,1505.33,1310.97,10.52,15.5,393.94,2319.0,8795.41,1.26,45.48,371.43,2388.18,8137.07,8.6738,0.03,370,2319,100.0,28.42,17.0447,3,1
8354,40,125,10.0043,0.2516,20.0,489.05,605.03,1500.41,1309.11,10.52,15.5,394.29,2318.95,8788.58,1.26,45.55,371.02,2388.16,8144.22,8.6967,0.03,369,2319,100.0,28.39,17.0994,3,1
8357,40,128,9.9999,0.2514,20.0,489.05,605.03,1500.99,1315.09,10.52,15.5,394.05,2318.97,8792.41,1.26,45.36,371.08,2388.16,8145.84,8.6589,0.03,370,2319,100.0,28.51,17.0056,3,1
8358,40,129,10.0076,0.25,20.0,489.05,605.63,1501.05,1316.72,10.52,15.49,394.7,2318.95,8795.04,1.26,45.57,371.4,2388.17,8141.44,8.6703,0.03,371,2319,100.0,28.44,17.2315,3,1
8364,40,135,9.9997,0.25,20.0,489.05,605.06,1494.56,1318.13,10.52,15.49,394.27,2318.95,8804.06,1.26,45.57,371.55,2388.14,8148.01,8.6545,0.03,370,2319,100.0,28.4,17.0146,3,1
8369,40,140,10.0024,0.25,20.0,489.05,605.19,1498.96,1317.59,10.52,15.5,394.24,2318.98,8791.99,1.26,45.56,371.29,2388.21,8151.57,8.6988,0.03,370,2319,100.0,28.42,17.0937,4,1
8374,40,145,10.0016,0.2503,20.0,489.05,604.75,1507.12,1314.14,10.52,15.5,393.44,2318.97,8798.96,1.26,45.66,371.05,2388.16,8155.93,8.6967,0.03,372,2319,100.0,28.46,17.1832,4,1
8387,40,158,9.9986,0.25,20.0,489.05,605.23,1503.07,1315.61,10.52,15.5,393.92,2319.01,8812.33,1.26,45.75,371.17,2388.26,8157.99,8.7125,0.03,371,2319,100.0,28.41,16.9848,4,1
8410,40,181,10.0051,0.25,20.0,489.05,605.39,1510.37,1328.53,10.52,15.5,392.98,2319.17,8850.97,1.26,45.72,370.57,2388.39,8189.59,8.7405,0.03,372,2319,100.0,28.37,16.9674,4,1
8413,40,184,9.9981,0.2513,20.0,489.05,605.69,1517.9,1328.8,10.52,15.5,393.27,2319.14,8856.87,1.26,45.86,370.51,2388.4,8195.97,8.7652,0.03,372,2319,100.0,28.4,16.9955,4,1
8422,41,6,10.0072,0.25,20.0,489.05,604.95,1498.52,1302.5,10.52,15.49,394.23,2318.95,8766.45,1.26,45.29,371.41,2388.13,8116.17,8.6423,0.03,370,2319,100.0,28.49,17.1517,2,1
8427,41,11,10.0065,0.2514,20.0,489.05,604.72,1498.65,1299.69,10.52,15.49,394.73,2318.96,8775.34,1.26,45.53,371.48,2388.12,8119.81,8.643,0.03,369,2319,100.0,28.5,17.0907,2,1
8428,41,12,10.0003,0.25,20.0,489.05,605.12,1497.67,1302.5,10.52,15.49,394.43,2318.88,8767.19,1.26,45.29,371.56,2388.12,8120.8,8.6428,0.03,369,2319,100.0,28.5,17.1348,2,1
8441,41,25,9.9993,0.2511,20.0,489.05,605.39,1495.08,1305.37,10.52,15.49,394.51,2318.95,8758.05,1.26,45.43,371.36,2388.17,8114.28,8.6459,0.03,370,2319,100.0,28.64,17.1468,2,1
8448,41,32,9.9985,0.25,20.0,489.05,604.53,1498.38,1316.75,10.52,15.49,394.19,2318.93,8771.25,1.26,45.59,371.7,2388.12,8120.41,8.6686,0.03,370,2319,100.0,28.48,17.0784,2,1
8451,41,35,10.0004,0.25,20.0,489.05,604.95,1497.86,1308.95,10.52,15.49,394.43,2318.97,8761.83,1.26,45.53,371.12,2388.13,8123.87,8.6241,0.03,369,2319,100.0,28.56,17.118,2,1
8467,41,51,9.9986,0.2514,20.0,489.05,604.78,1501.84,1305.19,10.52,15.49,394.31,2318.97,8763.16,1.26,45.42,372.07,2388.1,8120.5,8.6504,0.03,371,2319,100.0,28.49,17.1501,2,1
8479,41,63,10.0077,0.25,20.0,489.05,604.97,1497.41,1312.3,10.52,15.49,394.86,2318.94,8761.7,1.26,45.18,371.9,2388.17,8117.89,8.653,0.03,369,2319,100.0,28.44,17.1147,3,1
8482,41,66,10.0043,0.2507,20.0,489.05,604.66,1498.35,1302.7,10.52,15.49,395.13,2318.95,8762.62,1.26,45.42,371.4,2388.16,8124.32,8.6115,0.03,369,2319,100.0,28.37,17.1777,3,1
8486,41,70,9.9994,0.25,20.0,489.05,604.82,1500.34,1307.98,10.52,15.5,394.38,2318.9,8767.53,1.26,45.31,372.15,2388.19,8115.64,8.6503,0.03,370,2319,100.0,28.59,17.119,3,1
8498,41,82,10.0017,0.25,20.0,489.05,604.42,1501.98,1310.62,10.52,15.5,393.99,2319.0,8759.89,1.26,45.39,371.47,2388.16,8116.62,8.6769,0.03,368,2319,100.0,28.57,17.2674,3,1
8502,41,86,10.0034,0.25,20.0,489.05,604.46,1499.45,1310.28,10.52,15.5,394.25,2318.95,8760.92,1.26,45.43,371.53,2388.18,8112.52,8.6225,0.03,370,2319,100.0,28.41,17.1883,3,1
8503,41,87,10.0013,0.2514,20.0,489.05,604.82,1499.88,1311.86,10.52,15.49,394.46,2318.96,8769.96,1.26,45.4,371.91,2388.15,8116.05,8.6643,0.03,370,2319,100.0,28.52,17.1803,3,1
8504,41,88,10.0066,0.25,20.0,489.05,604.62,1496.92,1309.71,10.52,15.49,393.61,2318.96,8769.72,1.26,45.44,371.49,2388.19,8117.28,8.6217,0.03,369,2319,100.0,28.63,17.0781,3,1
8514,41,98,10.0008,0.2511,20.0,489.05,604.7,1505.03,1314.22,10.52,15.49,394.12,2319.02,8769.86,1.26,45.61,371.2,2388.22,8122.55,8.6789,0.03,370,2319,100.0,28.64,17.079,3,1
8525,41,109,10.0068,0.25,20.0,489.05,604.84,1502.11,1311.48,10.52,15.49,394.94,2319.01,8769.11,1.26,45.59,371.41,2388.23,8119.74,8.6745,0.03,369,2319,100.0,28.4,17.0947,3,1
8526,41,110,10.006,0.2514,20.0,489.05,605.06,1499.8,1317.13,10.52,15.49,394.45,2319.0,8766.36,1.26,45.57,370.51,2388.18,8122.18,8.6669,0.03,371,2319,100.0,28.5,17.0458,3,1
8535,41,119,10.0072,0.25,20.0,489.05,604.9,1502.48,1314.64,10.52,15.5,394.34,2318.99,8761.19,1.26,45.51,371.23,2388.18,8116.98,8.6519,0.03,371,2319,100.0,28.49,17.1234,3,1
8538,41,122,10.0079,0.2511,20.0,489.05,605.05,1500.08,1309.88,10.52,15.49,393.76,2318.95,8766.31,1.26,45.52,371.19,2388.19,8116.86,8.6746,0.03,369,2319,100.0,28.45,17.0706,3,1
8543,41,127,10.0073,0.25,20.0,489.05,604.65,1510.05,1315.28,10.52,15.49,394.21,2319.07,8768.85,1.26,45.63,371.29,2388.2,8111.85,8.6817,0.03,369,2319,100.0,28.73,17.0979,3,1
8550,41,134,10.0065,0.25,20.0,489.05,604.83,1501.87,1312.6,10.52,15.49,394.5,2318.99,8766.44,1.26,45.39,370.65,2388.26,8114.33,8.7114,0.03,371,2319,100.0,28.48,17.0937,3,1
8555,41,139,10.0055,0.25,20.0,489.05,604.65,1507.0,1321.23,10.52,15.49,393.79,2319.06,8761.3,1.26,45.87,371.26,2388.2,8121.1,8.7168,0.03,371,2319,100.0,28.39,17.0153,3,1
8556,41,140,10.0075,0.25,20.0,489.05,605.12,1509.78,1312.67,10.52,15.49,394.6,2319.04,8767.39,1.26,45.7,370.41,2388.22,8118.59,8.6869,0.03,371,2319,100.0,28.61,17.048,3,1
8561,41,145,9.9998,0.25,20.0,489.05,604.64,1508.49,1311.51,10.52,15.5,393.6,2319.05,8765.37,1.26,45.9,371.54,2388.19,8118.42,8.676,0.03,370,2319,100.0,28.49,17.0039,3,1
8570,41,154,10.0016,0.2518,20.0,489.05,605.15,1504.86,1315.24,10.52,15.5,393.71,2319.0,8764.3,1.26,45.74,370.74,2388.26,8117.49,8.6934,0.03,370,2319,100.0,28.65,16.9551,4,1
8572,41,156,10.0051,0.25,20.0,489.05,604.91,1506.38,1311.73,10.52,15.49,394.13,2318.99,8769.19,1.26,45.7,371.13,2388.23,8112.18,8.678,0.03,372,2319,100.0,28.31,17.04,4,1
8589,41,173,10.0026,0.2507,20.0,489.05,604.94,1505.35,1320.71,10.52,15.5,394.05,2319.09,8762.57,1.26,45.8,370.23,2388.31,8107.3,8.6889,0.03,371,2319,100.0,28.4,17.0998,4,1
8596,41,180,10.0015,0.2519,20.0,489.05,605.27,1511.2,1328.92,10.52,15.5,393.22,2319.12,8758.14,1.26,45.98,370.71,2388.35,8110.96,8.7495,0.03,371,2319,100.0,28.36,17.0898,4,1
8609,41,193,10.0046,0.2509,20.0,489.05,605.91,1517.96,1326.14,10.52,15.5,393.15,2319.17,8761.66,1.26,45.9,370.62,2388.38,8108.32,8.7293,0.03,372,2319,100.0,28.22,17.0395,4,1
8612,41,196,10.0042,0.25,20.0,489.05,605.69,1506.08,1334.18,10.52,15.5,393.12,2319.21,8759.04,1.26,46.05,370.41,2388.44,8102.77,8.7656,0.03,372,2319,100.0,28.09,16.9557,4,1
8613,41,197,10.0021,0.25,20.0,489.05,605.74,1517.02,1331.02,10.52,15.5,393.42,2319.22,8753.55,1.26,46.21,370.09,2388.35,8106.35,8.7491,0.03,373,2319,100.0,28.19,17.0333,4,1
8625,42,8,10.0061,0.2516,20.0,489.05,605.29,1503.65,1305.89,10.52,15.49,394.1,2318.86,8783.95,1.26,45.33,372.19,2388.06,8140.11,8.6795,0.03,370,2319,100.0,28.78,17.1265,1,1
8626,42,9,10.0069,0.25,20.0,489.05,604.35,1502.83,1302.42,10.52,15.49,395.57,2318.89,8784.47,1.26,45.27,372.29,2388.06,8133.81,8.6479,0.03,368,2319,100.0,28.52,17.1607,1,1
8633,42,16,10.0011,0.25,20.0,489.05,604.54,1500.36,1298.63,10.52,15.49,394.44,2318.86,8780.0,1.26,45.24,371.62,2388.02,8134.46,8.6148,0.03,369,2319,100.0,28.72,17.2832,1,1
8649,42,32,10.0044,0.25,20.0,489.05,604.38,1492.26,1304.64,10.52,15.49,394.46,2318.82,8783.39,1.26,45.08,372.29,2388.02,8135.06,8.6316,0.03,369,2319,100.0,28.47,17.1479,1,1
8650,42,33,10.0035,0.2512,20.0,489.05,604.58,1493.6,1304.43,10.52,15.49,395.47,2318.83,8782.83,1.26,45.22,371.75,2388.04,8139.29,8.6336,0.03,370,2319,100.0,28.62,17.245,1,1
8669,42,52,10.007,0.2514,20.0,489.05,604.79,1500.82,1307.33,10.52,15.49,394.78,2318.88,8784.53,1.26,45.15,372.21,2388.04,8134.39,8.6715,0.03,368,2319,100.0,28.65,17.2691,2,1
8673,42,56,10.0017,0.2501,20.0,489.05,604.34,1500.51,1305.97,10.52,15.49,395.39,2318.86,8782.61,1.26,45.23,371.41,2388.1,8130.88,8.6254,0.03,369,2319,100.0,28.51,17.0876,2,1
8677,42,60,10.0027,0.25,20.0,489.05,604.64,1497.77,1308.73,10.52,15.49,394.67,2318.82,8782.93,1.26,45.21,371.64,2388.04,8137.55,8.5952,0.03,369,2319,100.0,28.48,17.3291,2,1
8678,42,61,9.9989,0.2505,20.0,489.05,604.91,1498.59,1307.15,10.52,15.49,394.97,2318.84,8788.49,1.26,45.25,372.13,2388.05,8140.76,8.6132,0.03,369,2319,100.0,28.63,17.207,2,1
8684,42,67,9.9984,0.25,20.0,489.05,604.16,1497.53,1304.45,10.52,15.49,394.21,2318.86,8783.92,1.26,45.2,371.65,2388.09,8136.83,8.6401,0.03,370,2319,100.0,28.65,17.1129,2,1
8685,42,68,9.9982,0.251,20.0,489.05,604.93,1502.83,1302.0,10.52,15.49,395.61,2318.84,8786.41,1.26,45.35,371.81,2388.06,8135.53,8.6542,0.03,368,2319,100.0,28.42,17.2001,2,1
8693,42,76,10.0073,0.2501,20.0,489.05,604.59,1495.24,1304.48,10.52,15.49,394.83,2318.87,8777.51,1.26,45.18,371.78,2388.02,8134.39,8.6653,0.03,368,2319,100.0,28.56,17.2777,2,1
8697,42,80,10.0022,0.25,20.0,489.05,604.34,1502.48,1301.8,10.52,15.49,394.2,2318.89,8784.97,1.26,45.34,371.93,2388.05,8140.43,8.6432,0.03,368,2319,100.0,28.56,17.1627,2,1
8699,42,82,9.9993,0.25,20.0,489.05,604.62,1495.57,1302.06,10.52,15.49,394.69,2318.9,8776.88,1.26,45.25,372.41,2388.04,8135.87,8.6513,0.03,369,2319,100.0,28.72,17.2697,2,1
8703,42,86,10.0056,0.2515,20.0,489.05,604.56,1489.27,1301.55,10.52,15.49,394.67,2318.9,8778.12,1.26,45.1,371.14,2388.08,8133.15,8.6539,0.03,369,2319,100.0,28.65,17.156,2,1
8711,42,94,10.0047,0.25,20.0,489.05,604.69,1499.82,1299.26,10.52,15.49,395.11,2318.87,8784.75,1.26,45.57,371.58,2388.08,8130.78,8.6427,0.03,369,2319,100.0,28.64,17.091,3,1
8718,42,101,10.0001,0.25,20.0,489.05,604.64,1500.55,1304.4,10.52,15.49,395.07,2318.9,8790.38,1.26,45.22,372.19,2388.08,8141.0,8.6493,0.03,367,2319,100.0,28.62,17.1676,3,1
8722,42,105,10.0079,0.2513,20.0,489.05,604.36,1500.26,1305.31,10.52,15.49,394.35,2318.88,8780.45,1.26,45.24,371.65,2388.07,8131.08,8.6336,0.03,369,2319,100.0,28.71,17.2266,3,1
8725,42,108,9.9993,0.25,20.0,489.05,604.16,1497.53,1302.0,10.52,15.49,395.01,2318.84,8785.73,1.26,45.15,372.09,2388.06,8140.96,8.6822,0.03,368,2319,100.0,28.68,17.2581,3,1
8731,42,114,9.9996,0.25,20.0,489.05,604.86,1500.69,1312.73,10.52,15.49,395.61,2318.95,8788.82,1.26,45.23,371.67,2388.13,8137.9,8.6733,0.03,369,2319,100.0,28.55,17.1257,3,1
8752,42,135,10.0074,0.2503,20.0,489.05,604.31,1500.74,1301.62,10.52,15.49,394.48,2318.93,8786.44,1.26,45.36,371.38,2388.11,8141.34,8.6434,0.03,370,2319,100.0,28.48,17.1351,3,1
8754,42,137,10.0024,0.25,20.0,489.05,604.97,1502.77,1303.24,10.52,15.49,394.5,2318.9,8793.54,1.26,45.39,371.77,2388.13,8141.53,8.666,0.03,370,2319,100.0,28.6,17.2763,3,1
8755,42,138,9.9982,0.25,20.0,489.05,605.01,1497.01,1305.82,10.52,15.49,395.13,2318.91,8780.75,1.26,45.5,371.74,2388.08,8133.38,8.6661,0.03,369,2319,100.0,28.47,17.1664,3,1
8758,42,141,10.0008,0.25,20.0,489.05,605.16,1496.09,1307.18,10.52,15.49,394.2,2318.97,8788.76,1.26,45.2,371.97,2388.12,8142.05,8.6739,0.03,371,2319,100.0,28.54,17.0722,3,1
8760,42,143,10.0067,0.2517,20.0,489.05,604.57,1496.56,1307.16,10.52,15.49,395.22,2318.93,8793.81,1.26,45.5,371.36,2388.15,8136.16,8.6587,0.03,370,2319,100.0,28.32,17.0848,3,1
8775,42,158,10.0031,0.2511,20.0,489.05,604.6,1496.81,1311.48,10.52,15.49,394.69,2318.98,8795.25,1.26,45.44,371.51,2388.18,8139.34,8.6723,0.03,368,2319,100.0,28.49,17.0744,3,1
8776,42,159,10.0015,0.25,20.0,489.05,604.91,1509.91,1310.51,10.52,15.5,394.32,2318.95,8786.38,1.26,45.57,371.97,2388.15,8140.84,8.6667,0.03,370,2319,100.0,28.7,17.2024,3,1
8777,42,160,10.0048,0.2518,20.0,489.05,604.78,1501.39,1315.49,10.52,15.49,393.95,2318.89,8784.21,1.26,45.62,371.38,2388.15,8140.28,8.6569,0.03,371,2319,100.0,28.44,17.1649,3,1
8778,42,161,10.0048,0.25,20.0,489.05,604.53,1502.08,1315.5,10.52,15.49,394.68,2318.91,8799.49,1.26,45.63,370.96,2388.14,8136.06,8.6593,0.03,370,2319,100.0,28.62,17.0443,3,1
8779,42,162,9.9987,0.2503,20.0,489.05,604.92,1497.21,1306.93,10.52,15.49,394.14,2318.94,8794.14,1.26,45.58,371.28,2388.1,8140.91,8.6474,0.03,369,2319,100.0,28.45,17.1089,3,1
8794,42,177,10.0038,0.25,20.0,489.05,604.81,1499.64,1312.76,10.52,15.49,394.63,2319.0,8796.08,1.26,45.61,371.47,2388.2,8136.19,8.6608,0.03,370,2319,100.0,28.63,17.1577,3,1
8811,42,194,10.0037,0.25,20.0,489.05,605.38,1498.15,1318.7,10.52,15.5,394.57,2319.02,8800.1,1.26,45.72,371.05,2388.2,8139.7,8.6611,0.03,372,2319,100.0,28.22,17.0466,4,1
8813,42,196,10.0044,0.2513,20.0,489.05,605.1,1506.77,1311.83,10.52,15.5,394.55,2319.05,8792.84,1.26,45.63,371.41,2388.22,8145.33,8.6976,0.03,371,2319,100.0,28.58,17.1382,4,1
8849,42,232,10.0049,0.25,20.0,489.05,605.61,1509.82,1326.02,10.52,15.5,392.87,2319.17,8805.1,1.26,45.78,370.39,2388.32,8153.77,8.7348,0.03,374,2319,100.0,28.38,16.932,4,1
8851,42,234,10.0022,0.25,20.0,489.05,605.48,1508.57,1329.64,10.52,15.5,392.66,2319.17,8806.57,1.26,46.05,370.58,2388.38,8148.43,8.7264,0.03,372,2319,100.0,28.32,16.9722,4,1
8860,43,2,10.0011,0.2504,20.0,489.05,604.6,1495.67,1310.38,10.52,15.49,395.15,2318.76,8768.18,1.26,45.15,371.91,2388.05,8123.11,8.6012,0.03,367,2319,100.0,28.6,17.1621,1,1
