,Sensor_1,Sensor_2,Sensor_3,Sensor_6,Sensor_8,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_19,Sensor_20,Health_state
10172,605.22,1507.09,1310.38,394.63,8769.75,45.63,371.79,2388.22,8122.84,8.6817,28.54,17.1765,3
10177,604.92,1503.28,1308.82,394.26,8777.37,45.51,370.94,2388.17,8117.87,8.6654,28.35,17.0498,3
10183,604.8,1505.51,1316.32,394.49,8776.78,45.31,371.86,2388.19,8122.89,8.6626,28.55,17.1579,3
10202,605.22,1501.99,1311.56,393.88,8774.32,45.6,371.39,2388.21,8124.38,8.6684,28.56,17.0997,3
10207,605.61,1506.1,1320.36,394.12,8770.66,45.44,371.04,2388.19,8129.36,8.6684,28.42,17.08,3
10209,605.25,1501.01,1314.22,393.61,8776.63,45.71,370.77,2388.23,8125.54,8.7002,28.4,17.0313,3
10213,604.96,1500.21,1316.97,394.39,8778.28,45.71,371.41,2388.25,8117.15,8.6573,28.61,17.1066,3
10215,605.25,1505.28,1324.77,393.99,8776.77,45.77,371.18,2388.24,8129.87,8.6627,28.49,17.0828,3
10226,605.13,1504.42,1321.87,393.98,8784.95,45.62,371.1,2388.22,8133.32,8.709,28.36,17.1463,4
10232,605.58,1499.41,1318.74,393.91,8768.79,45.75,371.21,2388.16,8133.41,8.7122,28.48,16.9779,4
10239,605.59,1502.41,1318.56,394.29,8786.74,45.72,371.38,2388.27,8126.11,8.6938,28.58,16.969,4
10242,605.31,1503.91,1325.11,394.44,8781.88,45.93,370.72,2388.23,8130.9,8.6868,28.27,17.0545,4
10248,605.74,1512.01,1327.32,393.14,8779.93,45.77,370.57,2388.3,8133.75,8.7362,28.44,16.9391,4
10258,605.46,1513.73,1329.3,392.46,8793.59,45.74,370.32,2388.36,8135.91,8.7599,28.37,16.887,4
10270,606.01,1507.23,1332.39,393.3,8790.43,46.06,370.18,2388.4,8132.82,8.7873,28.23,16.989,4
10283,605.04,1498.07,1307.94,394.99,8771.0,45.26,371.58,2388.17,8122.95,8.6285,28.52,17.1919,1
10290,604.41,1495.65,1308.78,394.44,8772.37,45.54,371.55,2388.14,8119.86,8.6562,28.59,17.1822,1
10291,604.79,1495.01,1312.18,394.68,8765.68,45.4,372.03,2388.17,8119.19,8.6554,28.73,17.1328,1
10294,604.84,1504.0,1307.72,394.28,8772.41,45.31,371.48,2388.12,8126.06,8.6528,28.6,17.1354,1
10300,604.52,1502.61,1304.68,394.25,8769.66,45.4,370.95,2388.1,8125.56,8.6585,28.67,17.0838,1
10306,604.83,1499.84,1311.3,394.23,8767.06,45.35,371.72,2388.06,8124.92,8.6424,28.58,17.1471,1
10309,604.07,1490.18,1301.43,394.93,8771.27,45.25,371.41,2388.09,8125.77,8.6442,28.64,17.2841,1
10310,604.8,1502.02,1311.28,395.55,8767.99,45.29,371.4,2388.12,8124.31,8.6545,28.61,17.1725,1
10337,604.78,1500.78,1306.26,394.7,8771.52,45.19,372.25,2388.11,8124.94,8.6576,28.6,17.2619,1
10338,605.26,1497.54,1312.01,395.08,8773.89,45.36,372.14,2388.14,8118.58,8.6064,28.54,17.1167,1
10341,604.76,1500.12,1301.24,394.78,8772.82,45.43,371.53,2388.13,8122.83,8.6213,28.67,17.275,1
10342,604.77,1500.26,1306.86,394.16,8759.7,45.47,371.27,2388.11,8125.21,8.6166,28.65,17.0145,1
10343,604.73,1495.77,1304.27,394.91,8770.73,45.52,371.5,2388.1,8126.59,8.6509,28.57,17.18,1
10344,604.84,1493.28,1308.71,394.69,8772.73,45.34,371.86,2388.1,8120.44,8.6406,28.58,17.1588,1
10349,604.58,1507.42,1315.95,394.47,8771.0,45.35,371.75,2388.13,8119.66,8.6571,28.71,17.0704,1
10376,604.75,1496.05,1302.81,394.76,8775.24,45.35,371.6,2388.16,8127.07,8.6235,28.43,17.1789,2
10379,604.97,1499.58,1308.23,394.61,8775.18,45.27,371.87,2388.13,8118.4,8.6627,28.51,17.1612,2
10388,604.47,1500.97,1303.44,394.37,8771.83,45.41,371.47,2388.18,8121.17,8.6501,28.64,17.1197,2
10389,604.97,1510.37,1314.23,394.51,8768.21,45.46,371.7,2388.11,8122.37,8.6873,28.49,17.2179,2
10391,604.8,1498.42,1314.96,394.58,8775.81,45.4,372.14,2388.14,8123.3,8.6452,28.6,17.1217,2
10396,604.56,1494.18,1315.75,394.01,8767.95,45.57,371.18,2388.11,8128.47,8.6556,28.49,17.0548,2
10397,604.47,1505.75,1312.16,395.29,8769.88,45.35,371.53,2388.13,8121.62,8.6425,28.47,17.0894,2
10400,604.76,1503.93,1310.91,394.93,8774.16,45.31,371.3,2388.17,8125.69,8.6806,28.83,17.1738,2
10406,605.01,1497.4,1305.48,395.18,8774.59,45.62,371.5,2388.18,8124.75,8.6547,28.68,17.1975,2
10413,604.9,1500.03,1314.7,395.05,8776.28,45.5,371.8,2388.14,8125.41,8.6629,28.71,17.1138,3
10417,605.0,1500.52,1312.55,394.63,8773.48,45.54,370.98,2388.14,8120.92,8.6532,28.41,17.0603,3
10424,604.53,1503.56,1304.26,394.2,8766.48,45.61,371.02,2388.18,8121.55,8.6864,28.55,17.1169,3
10425,604.63,1499.48,1307.69,394.0,8767.14,45.44,371.67,2388.12,8127.74,8.6735,28.44,17.07,3
10429,604.66,1506.91,1309.32,394.39,8780.14,45.49,371.59,2388.11,8121.15,8.6695,28.83,17.082,3
10433,604.58,1497.56,1313.99,394.21,8775.23,45.6,370.92,2388.14,8128.42,8.6471,28.69,17.0185,3
10435,605.0,1506.59,1311.45,394.4,8778.05,45.61,371.52,2388.14,8121.19,8.6124,28.36,17.133,3
10442,604.78,1507.27,1314.19,394.86,8766.52,45.62,371.34,2388.14,8126.44,8.682,28.59,16.9485,3
10448,604.97,1501.14,1310.12,393.95,8776.85,45.48,371.75,2388.17,8119.34,8.6522,28.62,17.1539,3
10469,604.76,1503.08,1319.64,394.04,8768.7,45.57,371.47,2388.2,8123.11,8.6981,28.41,17.0311,3
10485,604.87,1500.0,1310.28,394.3,8773.04,45.52,371.09,2388.22,8125.82,8.6658,28.39,17.0071,3
10489,604.79,1497.65,1311.89,393.83,8775.74,45.74,371.23,2388.18,8122.93,8.6708,28.53,17.0313,3
10493,604.99,1508.53,1311.67,393.82,8780.42,45.67,371.03,2388.23,8126.24,8.6705,28.4,17.1028,3
10494,605.31,1506.21,1317.42,393.88,8780.06,45.59,371.0,2388.2,8122.32,8.7243,28.45,17.0792,3
10511,605.73,1501.07,1321.92,394.24,8774.14,45.67,371.24,2388.29,8125.54,8.6577,28.49,17.0546,4
10518,605.19,1509.17,1317.9,393.83,8778.21,45.9,371.11,2388.27,8125.43,8.6882,28.25,16.999000000000002,4
10527,605.25,1513.38,1324.0,393.53,8783.47,45.8,370.82,2388.33,8123.8,8.7392,28.22,17.1472,4
10532,605.71,1508.22,1324.67,393.18,8772.94,45.9,370.53,2388.3,8124.04,8.7285,28.37,17.0735,4
10539,605.44,1508.53,1322.86,393.17,8781.25,46.06,370.34,2388.26,8131.22,8.6516,28.42,17.0331,4
10540,605.88,1500.37,1324.55,393.19,8785.9,45.9,370.57,2388.3,8118.57,8.7139,28.17,16.9945,4
10553,605.67,1516.52,1328.82,393.26,8777.62,45.89,370.45,2388.37,8124.71,8.7051,28.26,16.9408,4
10555,605.31,1503.73,1332.27,392.85,8776.87,46.11,370.37,2388.33,8127.02,8.7372,28.11,16.9778,4
10582,604.82,1496.71,1301.12,394.73,8774.83,45.3,371.74,2388.1,8126.88,8.6339,28.58,17.1862,2
10588,604.77,1502.1,1303.42,394.27,8782.99,45.27,372.16,2388.11,8130.5,8.6341,28.66,17.2134,2
10592,605.14,1497.42,1306.99,394.65,8787.37,45.45,371.39,2388.08,8131.88,8.6214,28.63,17.1218,2
10594,604.23,1500.31,1299.07,394.67,8783.31,45.46,371.64,2388.14,8134.11,8.6193,28.61,17.2149,2
10600,604.88,1503.95,1311.96,394.47,8779.52,45.36,372.28,2388.12,8129.58,8.6118,28.7,17.1538,2
10604,604.24,1502.21,1310.38,394.2,8779.56,45.38,372.06,2388.09,8126.18,8.6429,28.63,17.1473,2
10605,605.02,1500.59,1305.78,394.24,8779.61,45.39,371.52,2388.21,8137.25,8.6327,28.54,17.1232,2
10607,604.91,1503.11,1316.07,395.01,8785.93,45.29,371.51,2388.1,8136.5,8.64,28.5,17.1996,2
10610,604.42,1499.46,1306.62,394.32,8781.26,45.35,371.33,2388.08,8126.83,8.6479,28.61,17.0664,2
10619,604.92,1499.27,1310.73,394.42,8780.62,45.26,371.27,2388.13,8130.32,8.6665,28.46,17.1549,2
10623,605.01,1497.66,1302.75,395.06,8777.21,45.12,370.87,2388.13,8133.3,8.6705,28.57,17.1072,2
10635,604.71,1500.69,1307.38,395.13,8781.31,45.42,371.58,2388.1,8126.7,8.6558,28.58,17.1038,3
10641,605.05,1504.95,1306.73,394.27,8777.59,45.42,371.55,2388.1,8129.67,8.6656,28.51,17.2526,3
10644,604.92,1499.28,1304.66,394.58,8783.07,45.21,371.53,2388.13,8132.89,8.6575,28.44,17.3229,3
10652,604.3,1502.77,1305.45,394.71,8783.8,45.39,371.72,2388.17,8127.06,8.6358,28.51,17.1399,3
10653,604.75,1504.73,1302.58,394.71,8777.83,45.47,371.72,2388.11,8133.03,8.6548,28.58,17.2092,3
10654,605.26,1498.03,1306.98,393.95,8779.48,45.59,371.48,2388.09,8132.34,8.6567,28.71,17.1719,3
10663,604.75,1499.13,1312.53,394.72,8775.58,45.3,370.98,2388.13,8131.92,8.673,28.63,17.1676,3
10683,604.57,1501.58,1301.45,394.31,8777.94,45.57,371.28,2388.12,8133.57,8.6665,28.5,17.115,3
10689,605.02,1497.78,1311.74,393.51,8780.38,45.55,371.56,2388.16,8129.18,8.6574,28.43,17.2061,3
10695,604.92,1501.23,1309.28,393.93,8785.9,45.46,371.39,2388.15,8137.85,8.6811,28.44,17.1386,3
10708,605.47,1505.36,1313.36,394.73,8783.65,45.66,371.57,2388.19,8130.76,8.7072,28.41,17.1249,3
10709,604.68,1501.15,1314.4,394.14,8786.32,45.5,370.97,2388.19,8137.25,8.6878,28.61,17.1361,3
10715,605.26,1500.78,1306.3,393.54,8780.46,45.51,371.56,2388.18,8129.58,8.6377,28.31,16.9963,3
10717,605.12,1507.16,1316.68,394.02,8787.32,45.46,370.79,2388.15,8133.67,8.6614,28.48,17.0409,3
10721,605.55,1501.29,1326.37,394.2,8775.17,45.56,370.85,2388.24,8128.29,8.674,28.38,16.9833,3
10730,605.51,1506.57,1317.1,393.84,8782.15,45.66,371.3,2388.24,8129.21,8.6784,28.44,17.1052,3
10735,605.22,1502.0,1319.14,393.84,8791.42,45.49,371.02,2388.23,8127.63,8.7001,28.33,17.0769,4
10736,605.9,1502.28,1322.83,394.32,8781.85,45.53,370.96,2388.24,8133.9,8.6396,28.54,17.133,4
10739,605.28,1505.07,1326.12,392.82,8782.88,45.79,370.82,2388.2,8128.88,8.6883,28.43,17.0452,4
10746,605.28,1513.3,1316.47,393.29,8788.29,45.66,370.84,2388.22,8128.34,8.6912,28.51,16.9934,4
10764,605.67,1505.4,1318.69,394.01,8791.12,45.9,370.87,2388.35,8131.38,8.6998,28.31,16.9483,4
10766,605.64,1513.85,1331.26,393.37,8794.5,46.03,370.6,2388.34,8129.92,8.7191,28.54,17.0557,4
10768,605.58,1509.43,1326.17,393.65,8789.43,45.9,370.68,2388.3,8135.09,8.7219,28.4,17.0388,4
10774,605.58,1512.51,1323.21,392.22,8784.89,46.05,369.58,2388.31,8135.54,8.7781,28.33,17.0475,4
10778,605.66,1516.85,1328.83,392.71,8793.44,46.2,370.39,2388.38,8127.55,8.7031,28.43,17.0518,4
10787,604.48,1499.07,1298.89,395.12,8780.23,45.18,372.01,2388.03,8122.4,8.595,28.88,17.301,2
10808,604.02,1484.73,1304.16,394.74,8771.81,45.24,372.15,2388.02,8131.0,8.6404,28.47,17.1854,2
10809,603.95,1498.02,1300.65,395.49,8765.47,45.03,372.23,2388.04,8130.95,8.6287,28.68,17.2576,2
10829,604.54,1499.49,1294.26,395.67,8778.92,45.32,372.26,2388.04,8127.33,8.6212,28.53,17.2455,3
10834,604.68,1494.42,1299.07,394.76,8775.53,45.39,372.17,2388.0,8132.07,8.6415,28.89,17.1355,3
10835,604.51,1488.83,1304.89,395.25,8773.26,45.28,371.78,2388.04,8131.13,8.6321,28.53,17.2017,3
10853,604.69,1490.33,1304.38,394.97,8771.72,45.32,371.41,2388.04,8128.56,8.6206,28.74,17.1923,3
10855,604.53,1507.25,1306.07,394.81,8777.29,45.27,372.19,2388.03,8128.45,8.6536,28.6,17.1786,3
10856,604.69,1500.94,1304.11,394.98,8778.57,45.16,371.85,2388.07,8127.7,8.6213,28.59,17.1465,3
10857,604.3,1498.4,1304.79,394.85,8779.95,45.13,371.97,2388.08,8132.42,8.6396,28.67,17.154,3
10860,604.73,1495.87,1304.49,394.87,8778.94,45.1,371.45,2388.07,8122.14,8.5767,28.55,17.2169,3
10870,604.58,1504.8,1298.85,395.27,8784.75,45.41,371.87,2388.06,8128.94,8.6144,28.89,17.1352,3
10875,604.63,1504.2,1308.23,394.92,8782.44,45.15,371.91,2388.03,8132.35,8.6561,28.66,17.209,3
10876,604.48,1498.32,1307.28,394.76,8765.08,44.99,371.58,2388.08,8127.65,8.6072,28.77,17.1892,3
10879,604.85,1491.23,1302.46,394.8,8775.34,45.13,372.08,2388.09,8126.32,8.6354,28.51,17.133,3
10886,604.79,1496.93,1305.78,394.62,8781.31,45.24,372.05,2388.1,8129.21,8.6382,28.72,17.2852,3
10887,604.62,1502.14,1309.39,394.42,8772.26,45.41,371.76,2388.12,8137.22,8.6631,28.51,17.031,3
10892,604.47,1494.39,1302.88,395.32,8782.28,45.21,371.36,2388.09,8131.42,8.6226,28.56,17.3029,3
10894,604.69,1498.97,1302.39,394.82,8785.15,45.47,371.87,2388.14,8130.45,8.6513,28.64,17.2789,3
10898,605.19,1496.94,1314.27,394.16,8776.81,45.43,372.14,2388.05,8131.61,8.6567,28.51,17.0979,3
10902,604.58,1501.96,1309.51,394.52,8787.91,45.4,371.64,2388.15,8133.8,8.6509,28.68,17.1253,3
10905,605.25,1495.18,1306.85,394.39,8778.47,45.54,371.15,2388.13,8136.35,8.683,28.68,17.0712,3
10918,604.64,1501.09,1309.81,393.56,8791.2,45.57,371.58,2388.17,8138.5,8.7161,28.49,17.1037,4
10919,605.01,1496.09,1311.66,394.17,8785.63,45.59,371.0,2388.14,8136.91,8.6146,28.39,17.1023,4
10921,605.15,1501.16,1312.01,394.55,8794.64,45.43,371.04,2388.14,8134.91,8.679,28.66,17.1667,4
10931,604.95,1503.7,1316.34,394.63,8787.73,45.62,371.05,2388.18,8138.4,8.7188,28.56,17.133,4
10934,605.47,1502.05,1320.87,394.48,8796.15,45.58,370.45,2388.19,8139.35,8.664,28.44,17.1284,4
10937,605.13,1498.8,1316.55,394.34,8797.35,45.69,371.15,2388.19,8139.32,8.7341,28.46,17.0139,4
10942,605.15,1499.76,1317.73,393.17,8794.06,45.82,371.59,2388.28,8140.44,8.7467,28.5,17.0639,4
10956,605.81,1501.72,1323.77,393.54,8811.93,45.91,370.77,2388.32,8152.27,8.7004,28.44,17.0692,4
10967,604.63,1503.89,1302.42,394.71,8776.02,45.39,372.1,2388.1,8137.14,8.6392,28.41,17.125,1
10972,604.71,1499.76,1304.59,395.18,8780.84,45.19,371.66,2388.14,8134.23,8.6291,28.62,17.1576,1
10985,604.68,1499.0,1308.34,394.64,8782.71,45.23,371.85,2388.04,8130.81,8.6211,28.69,17.1321,2
10987,604.72,1500.82,1306.54,395.49,8781.66,45.26,371.97,2388.17,8133.3,8.6662,28.6,17.1535,2
10996,604.63,1502.05,1301.62,395.38,8780.07,45.36,371.95,2388.1,8130.8,8.6469,28.57,17.1177,2
10998,604.66,1498.04,1310.78,394.71,8778.75,45.32,371.7,2388.07,8128.45,8.6461,28.52,17.2282,2
11011,604.33,1497.39,1305.49,394.75,8777.43,45.07,371.97,2388.11,8131.72,8.619,28.61,17.1881,2
11013,604.63,1498.44,1306.37,394.49,8779.1,45.3,372.06,2388.11,8133.21,8.6215,28.59,17.2936,2
11016,604.69,1487.52,1306.91,394.78,8796.43,45.33,371.83,2388.09,8133.39,8.6609,28.57,17.1011,2
11022,604.38,1496.36,1303.33,395.21,8779.92,45.5,371.49,2388.13,8131.63,8.6273,28.67,17.1887,2
11033,604.47,1506.36,1302.05,394.97,8775.39,45.32,372.1,2388.1,8130.35,8.6354,28.59,17.1485,3
11035,604.4,1497.13,1308.34,394.54,8771.03,45.36,371.71,2388.13,8126.84,8.6156,28.59,17.2079,3
11043,604.41,1505.56,1302.39,393.77,8783.8,45.17,371.99,2388.1,8130.9,8.642999999999999,28.44,17.1733,3
11047,604.47,1492.07,1312.06,394.86,8786.88,45.26,371.58,2388.12,8136.83,8.6451,28.64,17.112000000000002,3
11070,604.93,1497.79,1304.73,395.1,8782.61,45.43,371.49,2388.14,8129.15,8.6694,28.64,17.1444,3
11083,605.41,1503.86,1309.36,394.68,8780.44,45.57,371.37,2388.2,8127.59,8.6912,28.7,17.1849,3
11087,604.7,1495.58,1310.5,394.32,8776.32,45.5,372.0,2388.11,8132.08,8.6777,28.51,17.086,3
11092,604.94,1500.65,1310.05,394.14,8777.25,45.5,371.74,2388.19,8133.21,8.6868,28.5,17.1275,3
11100,604.69,1495.09,1317.18,394.43,8784.79,45.6,371.4,2388.23,8133.26,8.6684,28.46,16.9451,3
11113,605.06,1497.48,1323.38,394.11,8772.68,45.62,371.47,2388.22,8124.47,8.66,28.6,17.1358,3
11116,605.42,1505.83,1314.89,393.75,8770.18,45.5,371.38,2388.2,8127.24,8.6859,28.44,17.0903,3
11118,604.88,1501.81,1317.0,394.78,8781.6,45.64,371.46,2388.19,8131.02,8.6995,28.53,17.1248,3
11122,605.26,1499.71,1318.27,394.76,8783.77,45.71,371.29,2388.27,8128.33,8.6794,28.58,17.0151,3
11123,605.12,1506.01,1318.14,394.16,8781.9,45.65,370.85,2388.24,8123.32,8.697000000000001,28.43,17.0716,3
11126,605.25,1505.21,1319.14,394.48,8787.97,45.7,371.33,2388.25,8121.67,8.6816,28.57,17.0804,4
11129,604.76,1509.35,1316.42,394.11,8778.91,45.52,371.02,2388.24,8127.03,8.6774,28.34,16.9791,4
11136,604.99,1499.44,1320.4,394.11,8778.02,45.64,371.14,2388.23,8123.99,8.7153,28.42,17.027,4
11141,605.38,1512.22,1308.52,393.64,8774.09,45.76,371.11,2388.25,8124.0,8.6832,28.36,17.0529,4
11157,605.57,1519.87,1324.19,393.96,8771.36,46.04,370.9,2388.34,8124.24,8.7225,28.51,16.9602,4
11185,604.72,1501.87,1303.78,394.66,8789.32,45.43,372.04,2388.11,8141.63,8.6537,28.74,17.0477,1
11197,604.15,1496.5,1303.95,394.87,8786.07,45.34,371.84,2388.11,8141.08,8.6171,28.61,17.1394,1
11204,604.41,1494.68,1304.51,394.85,8788.2,45.19,371.5,2388.04,8140.4,8.6536,28.39,17.1183,1
11215,604.53,1493.15,1300.52,394.63,8795.19,45.37,371.81,2388.09,8144.03,8.6528,28.63,17.2923,1
11223,604.42,1496.12,1302.32,394.99,8792.18,45.36,372.27,2388.09,8142.48,8.6378,28.66,17.1823,1
11226,604.05,1496.34,1306.52,395.07,8794.09,45.25,371.52,2388.07,8138.57,8.6388,28.5,17.2537,1
11229,604.79,1497.92,1296.22,394.41,8790.69,45.18,371.45,2388.12,8140.07,8.6506,28.67,17.04,1
11242,604.72,1501.02,1304.7,394.52,8793.05,45.4,372.53,2388.13,8132.15,8.6709,28.69,17.1263,2
11247,604.7,1499.88,1306.08,395.72,8789.02,45.55,371.26,2388.09,8144.73,8.6446,28.76,17.2449,2
11251,604.39,1488.32,1306.44,394.28,8784.88,45.37,371.45,2388.09,8142.21,8.6501,28.75,17.1588,2
11252,604.34,1496.48,1311.3,394.7,8791.67,45.41,371.88,2388.12,8141.21,8.635,28.66,17.0961,2
11254,604.58,1496.51,1305.55,394.02,8788.1,45.25,371.35,2388.1,8144.6,8.6522,28.55,17.1675,2
11267,604.61,1494.13,1309.45,394.41,8792.77,45.32,372.01,2388.08,8143.62,8.6207,28.51,17.2452,2
11276,605.08,1502.46,1304.72,394.85,8793.0,45.36,371.73,2388.13,8142.41,8.6463,28.67,17.164,2
11291,604.73,1498.74,1301.51,394.83,8792.69,45.42,372.02,2388.1,8139.09,8.6492,28.43,17.1796,3
11294,604.89,1501.8,1303.01,395.03,8790.57,45.38,371.74,2388.07,8142.53,8.6831,28.59,17.0794,3
11297,605.04,1493.5,1301.54,394.06,8794.31,45.51,371.34,2388.13,8140.41,8.655,28.51,17.2267,3
11300,604.71,1500.32,1301.94,394.71,8787.32,45.32,371.93,2388.1,8140.07,8.6022,28.66,17.136,3
11301,604.13,1494.46,1305.66,394.83,8788.91,45.33,371.88,2388.06,8140.33,8.6581,28.59,17.1733,3
11330,604.39,1499.69,1306.45,394.55,8791.69,45.44,371.83,2388.12,8140.98,8.6198,28.43,17.1742,3
11342,604.89,1497.1,1314.21,394.64,8790.2,45.47,371.17,2388.16,8141.13,8.6822,28.52,17.1261,3
11343,604.33,1500.13,1319.85,394.43,8799.91,45.48,371.37,2388.2,8153.87,8.6653,28.62,17.1005,3
11353,604.79,1503.21,1309.76,394.66,8793.96,45.57,371.12,2388.14,8139.53,8.6444,28.52,17.1362,3
11359,605.15,1505.6,1316.56,394.54,8791.04,45.43,371.01,2388.19,8142.76,8.6934,28.4,17.149,3
11370,604.73,1512.5,1314.12,394.46,8798.42,45.58,371.49,2388.21,8143.97,8.6849,28.49,17.0197,3
11376,605.16,1511.77,1319.3,393.9,8800.85,45.59,371.69,2388.24,8144.3,8.672,28.47,16.9576,3
11381,605.43,1506.1,1321.08,393.58,8789.73,45.67,371.39,2388.21,8144.09,8.7132,28.48,17.0968,3
11406,605.32,1502.91,1318.44,393.69,8808.82,45.92,370.62,2388.3,8145.85,8.6962,28.27,16.9744,4
11408,605.83,1504.03,1317.98,393.71,8802.33,45.78,370.92,2388.3,8150.79,8.6978,28.45,17.0203,4
11416,605.81,1499.65,1320.52,393.02,8797.93,45.96,370.16,2388.33,8148.83,8.7067,28.44,17.0941,4
11419,605.39,1515.52,1318.22,393.05,8804.17,45.94,370.6,2388.32,8147.62,8.7228,28.12,16.9748,4
11422,605.38,1505.44,1329.55,393.36,8802.73,45.97,370.66,2388.33,8150.48,8.7007,28.4,16.9341,4
11438,604.39,1491.7,1295.64,395.9,8783.84,45.12,371.57,2387.98,8135.44,8.616,28.78,17.1581,1
11447,604.06,1491.58,1297.13,395.86,8792.08,45.21,371.68,2388.03,8138.4,8.6127,28.7,17.2005,1
11459,604.34,1493.33,1295.36,395.79,8786.69,45.26,372.23,2387.98,8135.58,8.5892,28.89,17.1995,1
11460,604.32,1498.61,1297.82,395.12,8784.82,45.12,372.14,2387.98,8136.87,8.6054,28.72,17.2146,1
11472,604.44,1491.32,1297.18,395.11,8787.86,45.02,371.95,2388.0,8138.69,8.6338,28.81,17.1131,1
11477,603.85,1500.92,1302.19,395.6,8791.58,45.04,372.26,2388.04,8143.63,8.5886,28.51,17.1897,1
11482,604.36,1500.32,1300.79,395.62,8780.89,45.01,372.63,2388.06,8139.83,8.5998,28.34,17.2462,1
11488,604.25,1496.67,1297.78,395.65,8788.73,45.06,372.36,2387.95,8138.28,8.5964,28.8,17.359,2
11490,604.1,1494.26,1304.92,395.35,8790.12,45.08,372.46,2388.03,8142.21,8.5828,28.51,17.2541,2
11492,604.89,1502.31,1295.48,394.94,8786.22,45.13,371.59,2388.04,8140.12,8.6023,28.72,17.2372,2
11508,604.38,1494.93,1299.12,394.77,8793.47,45.28,371.81,2388.0,8138.52,8.6082,28.81,17.2141,2
11516,603.97,1491.83,1302.91,394.44,8787.5,45.08,372.9,2388.06,8134.56,8.645,28.7,17.247,2
11521,603.86,1497.43,1300.65,395.47,8786.17,45.15,371.6,2388.04,8137.71,8.6213,28.69,17.2334,2
11523,603.7,1490.08,1293.66,394.55,8795.14,45.12,371.85,2388.02,8141.95,8.6626,28.58,17.2495,2
11524,604.06,1496.13,1297.16,394.63,8788.57,45.19,371.94,2388.02,8135.5,8.6371,28.67,17.2499,2
11527,604.36,1497.16,1310.03,395.11,8790.23,45.35,371.67,2388.05,8141.35,8.6233,28.72,17.1978,2
11529,604.29,1502.14,1305.18,395.33,8788.05,45.29,371.76,2388.01,8147.49,8.6317,28.7,17.1633,2
11536,603.78,1489.28,1297.99,394.13,8783.33,45.06,372.29,2388.02,8138.89,8.656,28.61,17.1446,3
11541,604.15,1499.74,1299.25,395.24,8793.85,45.14,371.9,2388.0,8141.27,8.6441,28.77,17.1901,3
11542,603.81,1493.31,1300.27,396.11,8789.01,45.1,371.91,2388.07,8138.51,8.591000000000001,28.71,17.1903,3
11545,604.67,1501.9,1302.03,394.61,8785.85,45.2,372.01,2388.04,8149.0,8.6317,28.43,17.3233,3
11549,604.32,1499.07,1300.81,395.03,8783.84,45.19,371.95,2388.01,8141.98,8.6276,28.73,17.134,3
11553,604.81,1497.32,1303.66,394.39,8795.69,45.19,371.82,2388.04,8142.23,8.5782,28.56,17.2031,3
11564,604.56,1497.75,1306.96,395.01,8801.22,45.03,372.27,2388.02,8147.83,8.6385,28.84,17.3104,3
11565,604.37,1497.03,1300.95,395.17,8792.11,45.1,372.23,2388.0,8143.13,8.6077,28.62,17.1292,3
11574,604.76,1495.28,1307.79,394.52,8804.97,45.17,371.7,2388.05,8151.39,8.6141,28.71,17.0898,3
11585,604.99,1502.95,1306.83,395.15,8797.0,45.04,372.24,2388.08,8143.95,8.5987,28.59,17.1658,3
11602,605.12,1498.7,1309.65,394.74,8805.2,45.33,371.45,2388.1,8148.78,8.6633,28.71,17.2187,3
11610,604.55,1505.21,1306.84,393.98,8806.9,45.41,372.27,2388.09,8160.08,8.6383,28.63,17.2395,3
11618,604.94,1501.59,1309.75,394.39,8811.28,45.49,371.78,2388.06,8164.07,8.6398,28.41,17.0839,3
11619,604.14,1506.75,1305.01,394.72,8816.55,45.33,371.63,2388.13,8160.81,8.6688,28.63,17.0826,3
11627,605.08,1504.16,1309.51,394.78,8812.55,45.57,370.93,2388.18,8159.01,8.6545,28.64,17.168,3
11633,604.58,1507.26,1314.29,394.17,8824.66,45.52,371.78,2388.17,8166.71,8.6305,28.52,17.1435,4
11634,604.8,1502.28,1304.67,394.89,8817.66,45.45,371.15,2388.12,8164.16,8.6703,28.43,17.0817,4
11650,605.27,1503.78,1314.0,394.11,8841.56,45.58,370.96,2388.25,8175.11,8.626,28.43,17.2003,4
11654,604.91,1510.41,1319.64,393.93,8836.89,45.8,371.8,2388.25,8184.1,8.6798,28.63,17.0307,4
11657,605.09,1507.13,1319.29,393.79,8842.29,45.68,371.03,2388.21,8184.11,8.7209,28.31,16.9664,4
11682,605.64,1515.61,1335.63,392.7,8889.0,45.9,370.28,2388.4,8219.79,8.7201,28.34,16.9981,4
11687,604.84,1499.08,1303.12,394.89,8781.73,45.35,371.84,2388.08,8131.56,8.6055,28.62,17.1949,3
11700,604.42,1503.7,1308.09,394.79,8779.29,45.32,371.84,2388.15,8133.05,8.6492,28.49,17.0873,3
11706,604.96,1502.35,1309.38,395.16,8779.7,45.41,372.06,2388.2,8132.64,8.6239,28.67,17.1457,3
11717,604.59,1498.46,1301.01,394.33,8783.12,45.46,371.47,2388.1,8131.03,8.6523,28.46,17.1508,3
11728,605.07,1502.33,1308.01,394.05,8779.2,45.26,371.82,2388.23,8126.1,8.6455,28.37,17.0703,3
11757,604.68,1501.62,1310.51,395.09,8785.41,45.59,371.86,2388.23,8130.48,8.683,28.5,17.0916,3
